time,dist
0,8369
17.9,8352.8
35.7,3853.1
53.6,3787.5
71.4,4358.4
89.3,4300.8
107.1,3145.5
125,3108.6
142.8,1009.1
160.7,981
178.6,4051.8
196.4,4036.3
214.3,4537.2
232.1,4522
250,5491.8
267.8,5473.4
285.7,9705.2
303.6,9703.3
321.4,10183.7
339.3,10185.6
357.1,9710.9
375,9708.7
392.8,10220.9
410.7,10233.4
428.5,7696.5
446.4,7683.1
464.3,8190.2
482.1,8327.6
500,20737.2
517.8,20834.9
535.7,1556.6
553.5,1703
571.4,27809
589.3,27722
607.1,28266.5
625,28675.9
642.8,4549.3
660.7,4579.8
678.5,11203.5
696.4,11366.2
714.2,3381.7
732.1,3321.7
750,2673.7
767.8,2679.3
785.7,5209.8
803.5,5185.2
821.4,6286.4
839.2,6288.5
857.1,4854.4
875,4849.6
892.8,3768.9
910.7,3750
928.5,2653.1
946.4,2652.6
964.2,453.9
982.1,440.8
999.9,3617.5
1017.8,3600.8
1035.7,1436.2
1053.5,1436.5
1071.4,6088
1089.2,6076.6
1107.1,8505.6
1124.9,8504.3
1142.8,8906.6
1160.7,8906.6
1178.5,7367.4
1196.4,7362.7
1214.2,7994.5
1232.1,7991.4
1249.9,8661.2
1267.8,8662.2
1285.6,4044.6
1303.5,4045.1
1321.4,3199.2
1339.2,3193.4
1357.1,8489.3
1374.9,8492.4
1392.8,5857.3
1410.6,5857.2
1428.5,5087.3
1446.4,5078.6
1464.2,6009.6
1482.1,5998.2
1499.9,4866
1517.8,4833.2
1535.6,7711.3
1553.5,7701.6
1571.3,7042.8
1589.2,7035.5
1607.1,6761
1624.9,6761.6
1642.8,3288.8
1660.6,3282.7
1678.5,6041.8
1696.3,6019.8
1714.2,5178.1
1732.1,5129
1749.9,3903.5
1767.8,3896.4
1785.6,4036.5
1803.5,3998.8
1821.3,4926.5
1839.2,4909.1
1857,4534.9
1874.9,4506
1892.8,6207.1
1910.6,6199.5
1928.5,7165.3
1946.3,7129
1964.2,7638.8
1982,7642.5
1999.9,7602.4
2017.8,7598.5
2035.6,8528.5
2053.5,8525.9
2071.3,9999
2089.2,10002.2
2107,10821.7
2124.9,10828.8
2142.7,9961.8
2160.6,9968.3
2178.5,10742.3
2196.3,10749.5
2214.2,10663.6
2232,10668.5
2249.9,9916.7
2267.7,9921.3
2285.6,9003.3
2303.5,9013.8
2321.3,9992.3
2339.2,9985.2
2357,10276.1
2374.9,10284.8
2392.7,10607
2410.6,10609.5
2428.4,10032.5
2446.3,10037.4
2464.2,9745.2
2482,9746.5
2499.9,9695.5
2517.7,9697.3
2535.6,9341.6
2553.4,9351.5
2571.3,8302.7
2589.1,8302.3
2607,7250.2
2624.9,7248.2
2642.7,6122.6
2660.6,6127.6
2678.4,6830.5
2696.3,6833.2
2714.1,1617.1
2732,1613.9
2749.9,1420.3
2767.7,1418.2
2785.6,974.6
2803.4,979
2821.3,5068.7
2839.1,5079.1
2857,583.4
2874.8,583.3
2892.7,4229.3
2910.6,4241.9
2928.4,5120.2
2946.3,5135.8
2964.1,19096.8
2982,19120.3
2999.8,9019.9
3017.7,9002.8
3035.6,5461.8
3053.4,5486.2
3071.3,4110.6
3089.1,4090.2
3107,11513.9
3124.8,11518.6
3142.7,1335.6
3160.5,1327.1
3178.4,4605.8
3196.3,4597.5
3214.1,7013.7
3232,6924.8
3249.8,15286
3267.7,15289.7
3285.5,2443.6
3303.4,2499.4
3321.3,2078.1
3339.1,2094.1
3357,1531.9
3374.8,1576
3392.7,4488.5
3410.5,4512.1
3428.4,7540.4
3446.2,7543.3
3464.1,2351.7
3482,2307
3499.8,8035.8
3517.7,5776.7
3535.5,8940.1
3553.4,8894.6
3571.2,1422.3
3589.1,1402.9
3607,10501.3
3624.8,10477
3642.7,622.1
3660.5,617
3678.4,5902.8
3696.2,5893.7
3714.1,8084.8
3731.9,8077.2
3749.8,1276.2
3767.7,1331.7
3785.5,2916.9
3803.4,2921.3
3821.2,8651.4
3839.1,8656.8
3856.9,8362.1
3874.8,8381.7
3892.7,9661.2
3910.5,9665.8
3928.4,8710.9
3946.2,8714.4
3964.1,9508.5
3981.9,9516.5
3999.8,10631.5
4017.6,10635.4
4035.5,8529.2
4053.4,8535.6
4071.2,9993.7
4089.1,9997.2
4106.9,9685.6
4124.8,9692.2
4142.6,9333.9
4160.5,9342.9
4178.4,9840.8
4196.2,9845.8
4214.1,8360.9
4231.9,8366.3
4249.8,10341
4267.6,10349.4
4285.5,9715.2
4303.3,9725.3
4321.2,7687.5
4339.1,7683.9
4356.9,7603
4374.8,7615.9
4392.6,6909.2
4410.5,6903.2
4428.3,8453.4
4446.2,8462.5
4464.1,9508.3
4481.9,9513.6
4499.8,9750.3
4517.6,9751.8
4535.5,9086.3
4553.3,9095.2
4571.2,8706.1
4589,8717.8
4606.9,7867.8
4624.8,7864.5
4642.6,9557.4
4660.5,9558.4
4678.3,8635.6
4696.2,8639.5
4714,7091.7
4731.9,7105.6
4749.8,8840.5
4767.6,8851.6
4785.5,8869.5
4803.3,8888
4821.2,8684.2
4839,8694.3
4856.9,9853
4874.7,9861
4892.6,10057.9
4910.5,10061.6
4928.3,8900.1
4946.2,8905
4964,10102.2
4981.9,10098.3
4999.7,8765.9
5017.6,8770.1
5035.5,8658.7
5053.3,8668.1
5071.2,9530.9
5089,9544.4
5106.9,8112.1
5124.7,8121.4
5142.6,9436.7
5160.4,9443
5178.3,9853
5196.2,9857.6
5214,8409.6
5231.9,8416.4
5249.7,9092.3
5267.6,9097.4
5285.4,9178.3
5303.3,9180.7
5321.1,7453.1
5339,7462.7
5356.9,9915.5
5374.7,9916.3
5392.6,8666.1
5410.4,8661.4
5428.3,7985.4
5446.1,7988.6
5464,9588.8
5481.9,9598.4
5499.7,8578.4
5517.6,8586.8
5535.4,9623
5553.3,9629.2
5571.1,10008.4
5589,10014.8
5606.8,9170.3
5624.7,9175.8
5642.6,8479.3
5660.4,8480.4
5678.3,8407.7
5696.1,8414.7
5714,8092
5731.8,8099.9
5749.7,9724.1
5767.6,9737.2
5785.4,9851.6
5803.3,9640.1
5821.1,9531.5
5839,9532.7
5856.8,9187.9
5874.7,9206.1
5892.5,8683
5910.4,8688.5
5928.3,10259.2
5946.1,10270.4
5964,9699.5
5981.8,9707
5999.7,7919.9
6017.5,7931.7
6035.4,7906.5
6053.3,7916.1
6071.1,8585.8
6089,8590.1
6106.8,7575.5
6124.7,7570.7
6142.5,9710.7
6160.4,9715.6
6178.2,10079.6
6196.1,10088.9
6214,8507.4
6231.8,8517.1
6249.7,10601.1
6267.5,10607.8
6285.4,8984.8
6303.2,8990.3
6321.1,9806.1
6339,9813.5
6356.8,9299.5
6374.7,9300.3
6392.5,7544
6410.4,7549.7
6428.2,7381.9
6446.1,7392
6463.9,8354.8
6481.8,8363.9
6499.7,8423.7
6517.5,8431.7
6535.4,9451.8
6553.2,9458.4
6571.1,10537
6588.9,10543.5
6606.8,9296.8
6624.7,9300.2
6642.5,10287.3
6660.4,10286.7
6678.2,9104.8
6696.1,9109.8
6713.9,8718.5
6731.8,8726.3
6749.6,9465.2
6767.5,9469.8
6785.4,6690.3
6803.2,6701.9
6821.1,9372.7
6838.9,9381.7
6856.8,8938.1
6874.6,8928.4
6892.5,8670.3
6910.4,8673.6
6928.2,9971.2
6946.1,9980.8
6963.9,9174.7
6981.8,9178.7
6999.6,8308.4
7017.5,8317.8
7035.3,9221.9
7053.2,9222.8
7071.1,8787.3
7088.9,8793.3
7106.8,8748.3
7124.6,8765.5
7142.5,10024.2
7160.3,10028.8
7178.2,8182.7
7196.1,8191.9
7213.9,9302
7231.8,9307.4
7249.6,10244.3
7267.5,10250.9
7285.3,9344.9
7303.2,9356.2
7321,8795.5
7338.9,8813.1
7356.8,8713.7
7374.6,8714.4
7392.5,7329
7410.3,7330
7428.2,9166.4
7446,9172.3
7463.9,8867.6
7481.8,8865.4
7499.6,8576.9
7517.5,8582.8
7535.3,9928.5
7553.2,9933
7571,8770.9
7588.9,8775.4
7606.7,10328.2
7624.6,10336.5
7642.5,9391.6
7660.3,9398
7678.2,8296.6
7696,8301.5
7713.9,8282.9
7731.7,8288.1
7749.6,8490.3
7767.4,8492.6
7785.3,6964.7
7803.2,6427.4
7821,9244.9
7838.9,9257.6
7856.7,9569.1
7874.6,9564
7892.4,9134.2
7910.3,9135.9
7928.2,10856.5
7946,10860.3
7963.9,8043.2
7981.7,8039.7
7999.6,9284.7
8017.4,9292
8035.3,8368.6
8053.1,8378.1
8071,8164.3
8088.9,8176.9
8106.7,8695.8
8124.6,8699.8
8142.4,8337.8
8160.3,8347.6
8178.1,8646.8
8196,8655.2
8213.9,9211.6
8231.7,9223.5
8249.6,10603
8267.4,10606.7
8285.3,9427.9
8303.1,9434.6
8321,10307.2
8338.8,10313.8
8356.7,8779.3
8374.6,8787.8
8392.4,9212
8410.3,9218.5
8428.1,9661.5
8446,9665.6
8463.8,8239.4
8481.7,8244.5
8499.6,8202.8
8517.4,8207.4
8535.3,8070.7
8553.1,8068.1
8571,9708.8
8588.8,9724.7
8606.7,10147.1
8624.5,10158.5
8642.4,9719.4
8660.3,9725.6
8678.1,9061.8
8696,9064.8
8713.8,9263.2
