time,dist
0,202.6
11.5,202.9
23,1612
34.6,1611.7
46.1,1813.3
57.6,1799.6
69.1,1184
80.6,1186.3
92.2,4715.7
103.7,4700.3
115.2,2412.9
126.7,2429.8
138.2,2263.6
149.8,2268.4
161.3,6840
172.8,6818
184.3,2725.5
195.8,2751.6
207.4,2921.9
218.9,2924.9
230.4,1764.4
241.9,1733.3
253.4,242.3
265,255.1
276.5,657.2
288,674.4
299.5,1870.5
311,1880.7
322.6,1267.9
334.1,1275.4
345.6,756.7
357.1,762.4
368.6,1293
380.2,1296.8
391.7,528.1
403.2,531.8
414.7,492.7
426.2,496.3
437.8,309.5
449.3,314.4
460.8,328.2
472.3,330.3
483.8,91.5
495.4,93.9
506.9,160.5
518.4,163.8
529.9,68.6
541.4,69.2
553,376.2
564.5,376.2
576,790.9
587.5,797.7
599,362.3
610.6,366.1
622.1,413
633.6,413.4
645.1,19.9
656.6,20.1
668.2,20.1
679.7,17.9
691.2,415.1
702.7,417.1
714.2,86.9
725.8,87.1
737.3,234.3
748.8,232.5
760.3,526.6
771.8,526.4
783.4,391.3
794.9,390.5
806.4,392.2
817.9,390
829.4,400.2
841,401.9
852.5,327.3
864,326.9
875.5,187.6
887,187
898.6,333.9
910.1,333.5
921.6,344.1
933.1,342.8
944.6,456.9
956.2,456.5
967.7,232.5
979.2,230.9
990.7,495.2
1002.2,494.3
1013.8,503.1
1025.3,502.5
1036.8,357
1048.3,357.5
1059.8,276.2
1071.4,275.7
1082.9,381.7
1094.4,381.3
1105.9,434.1
1117.4,432.2
1129,136
1140.5,135.6
1152,298.8
1163.5,299.4
1175,368
1186.6,367.8
1198.1,367.4
1209.6,366.9
1221.1,458.9
1232.6,457.3
1244.2,440.1
1255.7,437.6
1267.2,153.2
1278.7,151.6
1290.2,359.3
1301.8,359.1
1313.3,346.7
1324.8,345
1336.3,451.3
1347.8,450.2
1359.4,463.1
1370.9,462.4
1382.4,495
1393.9,494.2
1405.4,494.4
1417,493.4
1428.5,454.9
1440,454.7
1451.5,467.2
1463,466.4
1474.6,451.5
1486.1,450.2
1497.6,419.9
1509.1,421.3
1520.6,435.6
1532.2,432.9
1543.7,529.1
1555.2,528.8
1566.7,451.4
1578.3,451
1589.8,512.3
1601.3,511.4
1612.8,511.8
1624.3,510.8
1635.9,461.8
1647.4,460.9
1658.9,281
1670.4,280.5
1681.9,325.3
1693.5,322.6
1705,509.8
1716.5,509.2
1728,371.7
1739.5,370.2
1751.1,479.7
1762.6,478.9
1774.1,495.5
1785.6,495.4
1797.1,521.3
1808.7,521.8
1820.2,462.5
1831.7,460.5
1843.2,399.3
1854.7,395.4
1866.3,499.7
1877.8,500.2
1889.3,470
1900.8,470.2
1912.3,473
1923.9,472.1
1935.4,410.5
1946.9,408.3
1958.4,404.7
1969.9,403.9
1981.5,399.6
1993,399.4
2004.5,482.4
2016,481.4
2027.5,486.2
2039.1,485.6
2050.6,468.4
2062.1,467.8
2073.6,465.7
2085.1,465.2
2096.7,451.6
2108.2,451.1
2119.7,486.6
2131.2,485.9
2142.7,474.3
2154.3,473.4
2165.8,518.6
2177.3,517.4
2188.8,460.4
2200.3,459.3
2211.9,495.2
2223.4,494.7
2234.9,476.5
2246.4,475.9
2257.9,550.2
2269.5,549.7
2281,500.8
2292.5,499.7
2304,387.8
2315.5,387.8
2327.1,467
2338.6,466.5
2350.1,507.1
2361.6,506.8
2373.1,467.2
2384.7,465.9
2396.2,423
2407.7,421
2419.2,458.7
2430.7,458.5
2442.3,476
2453.8,473.5
2465.3,493.7
2476.8,494.9
2488.3,393.6
2499.9,393.4
2511.4,304.2
2522.9,302.7
2534.4,386.9
2545.9,386
2557.5,502.3
2569,502.2
2580.5,462.8
2592,461.5
2603.5,513.1
2615.1,512.3
2626.6,503.4
2638.1,503
2649.6,466.2
2661.1,465.4
2672.7,480.6
2684.2,480.7
2695.7,483.6
2707.2,481.9
2718.7,491.9
2730.3,491
2741.8,436.8
2753.3,436.4
2764.8,434.8
2776.3,431.9
2787.9,451.2
2799.4,450.4
2810.9,488
2822.4,487.5
2833.9,505
2845.5,503.7
2857,472
2868.5,470.2
2880,446.7
2891.5,444.9
2903.1,523.6
2914.6,524
2926.1,531.1
2937.6,531.8
2949.1,535.2
2960.7,534.6
2972.2,481.2
2983.7,480.2
2995.2,413.1
3006.7,412.1
3018.3,414
3029.8,413.4
3041.3,497.4
3052.8,496.8
3064.3,418.5
3075.9,417.8
3087.4,453.1
3098.9,451.9
3110.4,455.1
3121.9,453.8
3133.5,399.4
3145,398.7
3156.5,420.7
3168,420.4
3179.5,235.9
3191.1,235.6
3202.6,358.5
3214.1,356.1
3225.6,440.3
3237.1,439.5
3248.7,354
3260.2,351.9
3271.7,484.2
3283.2,483.3
3294.7,441.6
3306.3,441.1
3317.8,505.1
3329.3,504.5
3340.8,416.1
3352.3,392.5
3363.9,494.5
3375.4,492.6
3386.9,383.3
3398.4,382.7
3409.9,444.5
3421.5,444.6
3433,376.2
3444.5,375.3
3456,388.1
3467.5,387.4
3479.1,486.4
3490.6,484.2
3502.1,459.3
3513.6,458.4
3525.1,470.3
3536.7,470.4
3548.2,442.9
3559.7,442.5
3571.2,528.4
3582.7,527.6
3594.3,502.6
3605.8,501.9
3617.3,517.9
3628.8,517.4
3640.3,338
3651.9,336.6
3663.4,452.7
3674.9,451.4
3686.4,522.7
3697.9,522.1
3709.5,438.9
3721,438
3732.5,317.3
3744,315.9
3755.5,402.9
3767.1,401.3
3778.6,449
3790.1,448.5
3801.6,296.6
3813.1,296.4
3824.7,462.4
3836.2,460.6
3847.7,501.2
3859.2,500.2
3870.7,497.4
3882.3,496.8
3893.8,437.8
3905.3,437.7
3916.8,387.6
3928.3,385
3939.9,368.2
3951.4,366
3962.9,492.5
3974.4,491.5
3985.9,324.1
3997.5,323.6
4009,463
4020.5,462.7
4032,517.6
4043.5,517.1
4055.1,442.8
4066.6,443.3
4078.1,443.3
4089.6,441.9
4101.1,478.3
4112.7,464
4124.2,108.4
4135.7,109
4147.2,405.1
4158.7,404.1
4170.3,497
4181.8,498
4193.3,479.7
4204.8,480.2
4216.3,472.4
4227.9,470.1
4239.4,494.1
4250.9,493.5
4262.4,430.2
4273.9,430.7
4285.5,432.2
4297,431.7
4308.5,332.9
4320,331.2
4331.5,306.8
4343.1,311
4354.6,361.8
4366.1,366.1
4377.6,495.8
4389.1,502.6
4400.7,513.4
4412.2,516.8
4423.7,1100.2
4435.2,1105.2
4446.7,1059.7
4458.3,1066.3
4469.8,939.8
4481.3,947.1
4492.8,1859
4504.3,1870.5
4515.9,2470.5
4527.4,2483
4538.9,1654.2
4550.4,1659.6
4561.9,2764.3
4573.5,2775.8
4585,2567.7
4596.5,2577.7
4608,2078.4
4619.5,2084.7
4631.1,2856.7
4642.6,2864.5
4654.1,2007
4665.6,2019.4
4677.1,2411.3
4688.7,2421.7
4700.2,1203.7
4711.7,1209.4
4723.2,1188.4
4734.8,1196.5
4746.3,994.2
4757.8,1000.9
4769.3,969.4
4780.8,979.3
4792.4,1396.5
4803.9,1406
4815.4,1292.3
4826.9,1300.7
4838.4,415.4
4850,420.1
4861.5,1243.6
4873,1250.6
4884.5,1816.3
4896,1819.7
4907.6,1666.3
4919.1,1676.4
4930.6,2417.9
4942.1,2437.3
4953.6,2845.7
4965.2,2858.2
4976.7,2387.7
4988.2,2391.1
4999.7,155.8
5011.2,275.7
5022.8,90.9
5034.3,91.8
5045.8,344.1
5057.3,344.1
5068.8,61.9
5080.4,60.8
5091.9,335.6
5103.4,334.8
5114.9,109.7
5126.4,109.5
5138,21.7
5149.5,19.9
5161,139
5172.5,136.8
5184,445.7
5195.6,452.3
5207.1,1956.7
5218.6,1965.5
5230.1,2053.8
5241.6,2063.6
5253.2,2408.3
5264.7,2419.2
5276.2,2048.8
5287.7,2065.2
5299.2,1764
5310.8,1770.2
5322.3,2119.3
5333.8,2127.1
5345.3,1850.6
5356.8,1856.9
5368.4,1919.9
5379.9,1933.4
5391.4,1142.3
5402.9,1146.3
5414.4,1615.7
5426,1623.5
5437.5,903.5
5449,911.1
5460.5,642.6
5472,647.9
5483.6,1723.4
5495.1,1732
5506.6,1744
5518.1,1748.5
5529.6,2665
5541.2,2673.3
5552.7,4272.8
5564.2,4277.3
5575.7,3248.4
5587.2,3262.7
5598.8,2805.1
5610.3,2813.7
5621.8,3167.4
5633.3,3182.1
5644.8,2388.1
5656.4,2398.7
5667.9,2891.9
5679.4,2904.4
5690.9,4479.5
5702.4,4490.5
5714,3355.7
5725.5,3368.5
5737,2140.6
5748.5,2150.3
5760,1636.6
5771.6,1644.1
5783.1,1497.1
5794.6,1504
5806.1,1898.1
5817.6,1906.9
5829.2,1550.8
5840.7,1559
5852.2,249.8
5863.7,250.8
5875.2,550.5
5886.8,555.9
5898.3,221.3
5909.8,222.8
5921.3,181.4
5932.8,182.6
5944.4,53.4
5955.9,54.9
5967.4,220
5978.9,222.7
5990.4,74.1
6002,76
6013.5,149.2
6025,150.9
6036.5,162
6048,161.5
6059.6,44.6
6071.1,45.7
6082.6,553.5
6094.1,554
6105.6,740.3
6117.2,744
6128.7,280.4
6140.2,284.1
6151.7,165.9
6163.2,164.8
6174.8,73.5
6186.3,70.5
6197.8,192.6
6209.3,191.7
6220.8,304
6232.4,303.1
6243.9,197.1
6255.4,196.4
6266.9,144.5
6278.4,144.3
6290,413.9
6301.5,413.4
6313,434.7
6324.5,433.4
6336,345.8
6347.6,345
6359.1,267.1
6370.6,265.6
6382.1,307.7
6393.6,310.9
6405.2,566.3
6416.7,569.4
6428.2,957.6
6439.7,960.8
6451.2,982.9
6462.8,987.3
6474.3,1744
6485.8,1747.3
6497.3,1726.7
6508.8,1734
6520.4,1444.6
6531.9,1450.1
6543.4,2133
6554.9,2142.5
6566.4,1504.8
6578,1510.1
6589.5,2057.3
6601,2064.2
6612.5,1809.2
6624,1817.7
6635.6,2688.7
6647.1,2695.7
6658.6,2191.8
6670.1,2199.9
6681.6,2032.2
6693.2,2038.8
6704.7,1557.4
6716.2,1562.9
6727.7,2443.7
6739.2,2449.3
6750.8,2663.8
6762.3,2671.6
6773.8,2609.3
6785.3,2617.3
6796.8,3276.7
6808.4,3286.1
6819.9,2406.8
6831.4,2415.6
6842.9,2302.3
6854.4,2314.1
6866,2240
6877.5,2250.8
6889,1545.4
6900.5,1552.6
6912,1871
6923.6,1878.7
6935.1,1242.5
6946.6,1252.3
6958.1,2692.4
6969.6,2701.9
6981.2,1525.8
6992.7,1533.1
7004.2,1935.2
7015.7,1944.4
7027.2,1588.3
7038.8,1597.1
7050.3,2405.6
7061.8,2413.1
7073.3,1626.6
7084.8,1631.2
7096.4,2017.7
7107.9,2021.7
7119.4,1844.1
7130.9,1848.1
7142.4,1723
7154,1728.2
7165.5,1840.3
7177,1845.9
7188.5,1577.4
7200,1582.9
7211.6,1888.8
7223.1,1892.8
7234.6,2481.1
7246.1,2488.9
7257.6,2688.6
7269.2,2698.4
7280.7,2401.7
7292.2,2408.8
7303.7,2847.2
7315.2,2856.5
7326.8,2504.1
7338.3,2514.1
7349.8,4058.5
7361.3,4073.2
7372.8,2706.6
7384.4,2716.7
7395.9,3960.8
7407.4,3978.4
7418.9,3310.1
7430.4,3323.5
7442,3772.2
7453.5,3787.7
7465,3140.8
7476.5,3154.4
7488,3615.5
7499.6,3631.3
7511.1,3544.5
7522.6,3558.7
7534.1,3253.1
7545.6,3265.3
7557.2,2863.2
7568.7,2877.7
7580.2,3231.3
7591.7,3251.5
7603.2,2613.3
7614.8,2626.4
7626.3,4226.9
7637.8,4243.1
7649.3,2949.8
7660.8,2964.4
7672.4,4523.4
7683.9,4544.9
7695.4,2523.5
7706.9,2536.6
7718.4,1021.8
7730,1028.3
7741.5,585.6
7753,588.6
7764.5,1601.6
7776,1612.3
7787.6,1880.1
7799.1,1885.7
7810.6,2535.1
7822.1,2549.1
7833.7,3613.2
7845.2,3634.3
7856.7,4944.7
7868.2,4954.5
7879.7,4883
7891.3,4899.3
7902.8,3438
7914.3,3452.5
7925.8,4353.6
7937.3,4373.5
7948.9,2318.7
7960.4,2331.5
7971.9,1882.6
7983.4,1893
7994.9,1949.5
8006.5,1960
8018,1972.1
8029.5,1982.7
8041,626.7
8052.5,628.6
8064.1,811.1
8075.6,813.8
8087.1,852.3
8098.6,855.1
8110.1,1344.7
8121.7,1346.8
8133.2,526.5
8144.7,527.2
8156.2,419.1
8167.7,420.9
8179.3,647.5
8190.8,647.5
8202.3,122.5
8213.8,124.3
8225.3,562.7
8236.9,563.3
8248.4,3576.4
8259.9,3593.1
8271.4,2766
8282.9,2776.2
8294.5,2187.5
8306,2194.1
8317.5,2385.6
8329,2396.4
8340.5,1980.3
8352.1,1986.3
8363.6,2160.6
8375.1,2168.1
8386.6,1415.2
8398.1,1421.3
8409.7,1487.9
8421.2,1497.2
8432.7,1481.4
8444.2,1490.2
8455.7,1278.6
8467.3,1285.2
8478.8,1273.3
8490.3,1282.1
8501.8,893.6
8513.3,898.5
8524.9,2031.8
8536.4,2045.9
8547.9,1409
8559.4,1423.3
8570.9,1366.1
8582.5,1378
8594,1891.2
8605.5,1894
8617,1803.1
8628.5,1804.8
8640.1,478
8651.6,481
8663.1,442.5
8674.6,442.9
8686.1,1533.7
8697.7,1534.7
8709.2,810.2
8720.7,808.7
8732.2,283.1
8743.7,293
8755.3,1501.1
8766.8,1508
8778.3,2577.3
8789.8,2577.7
8801.3,241.3
8812.9,242.2
8824.4,51.3
8835.9,52.3
8847.4,55.8
8858.9,58.8
8870.5,86.8
8882,85.4
8893.5,189.2
8905,188.3
8916.5,1814
8928.1,1824.1
8939.6,1409.2
8951.1,1414.6
8962.6,2526.1
8974.1,2537.8
8985.7,1219.4
8997.2,1225.3
9008.7,1686.1
9020.2,1687.8
9031.7,1072.5
9043.3,1081.1
9054.8,892.5
9066.3,891.1
9077.8,429.8
9089.3,433
9100.9,768.4
9112.4,777.9
9123.9,1125.8
9135.4,1126.4
9146.9,1714
9158.5,1718.8
9170,1362
9181.5,1367.8
9193,1355.5
9204.5,1362.8
9216.1,1608.8
9227.6,1612.8
9239.1,914.2
9250.6,914.3
9262.1,1349.3
9273.7,1353.7
9285.2,556
9296.7,562.7
9308.2,166.4
9319.7,168.4
9331.3,63.5
9342.8,61.9
9354.3,68.4
9365.8,69.1
9377.3,218.3
9388.9,221.1
9400.4,120.5
9411.9,120.7
9423.4,104.4
9434.9,106.3
9446.5,1145.4
9458,1152.4
9469.5,380.4
9481,389
9492.5,104.2
9504.1,105.2
9515.6,215.6
9527.1,212.9
9538.6,1099.2
9550.1,1103.2
9561.7,144.1
9573.2,144
9584.7,1193.8
9596.2,1194.9
9607.7,154
9619.3,154.8
9630.8,170.1
9642.3,172.5
9653.8,324.2
9665.3,327.3
9676.9,36.8
9688.4,35.4
9699.9,168
9711.4,166.2
9722.9,5.6
9734.5,5.4
9746,354.2
9757.5,351.6
9769,369.1
9780.5,366.8
9792.1,326
9803.6,324
9815.1,465.5
9826.6,465
9838.1,275.5
9849.7,274.9
9861.2,452.6
9872.7,452.4
9884.2,216.3
9895.7,215.5
9907.3,428.7
9918.8,428.1
9930.3,439.5
9941.8,438.6
9953.3,371.5
9964.9,371.9
9976.4,365
9987.9,361.9
9999.4,192
10010.9,189.3
10022.5,475.5
10034,474.2
10045.5,472.2
10057,471.1
10068.5,317
10080.1,316
10091.6,300.3
10103.1,300
10114.6,411.1
10126.1,411.1
10137.7,238.8
10149.2,237.5
10160.7,215.1
10172.2,213.4
10183.7,404.6
10195.3,404.2
10206.8,13.5
10218.3,11.9
10229.8,115
10241.3,116.2
10252.9,198.2
10264.4,192.9
10275.9,464.3
10287.4,463.3
10298.9,405.7
10310.5,402.9
10322,505.4
10333.5,505.5
10345,394
10356.5,393.5
10368.1,526.3
10379.6,526.1
10391.1,453.2
10402.6,453.1
10414.1,424.4
10425.7,423.6
10437.2,408.1
10448.7,407.8
10460.2,381.4
10471.7,381.4
10483.3,285.8
10494.8,284.8
10506.3,462.5
10517.8,462.1
10529.3,449.9
10540.9,449.4
10552.4,405.4
10563.9,405
10575.4,404.9
10586.9,403.5
10598.5,431.9
10610,431.5
10621.5,457.1
10633,456.2
10644.5,516.1
10656.1,516.1
10667.6,467.6
10679.1,466.5
10690.6,441
10702.1,440.4
10713.7,426.3
10725.2,425.7
10736.7,513.8
10748.2,512.4
10759.7,456.1
10771.3,455.8
10782.8,437.7
10794.3,436.3
10805.8,359.4
10817.3,358.3
10828.9,452.4
10840.4,452.6
10851.9,242.1
10863.4,241.1
10874.9,437.2
10886.5,436.3
10898,504
10909.5,504
10921,460.6
10932.5,460.8
10944.1,452.9
10955.6,451.6
10967.1,475.4
10978.6,474.7
10990.2,411.9
11001.7,411.6
11013.2,482
11024.7,482
11036.2,402.1
11047.8,399.5
11059.3,392.8
11070.8,393.7
11082.3,422.4
11093.8,420.8
11105.4,377.2
11116.9,375.9
11128.4,508
11139.9,507.5
11151.4,411.1
11163,411.3
11174.5,295.3
11186,294.8
11197.5,346
11209,345.3
11220.6,274.5
11232.1,273.9
11243.6,128.2
11255.1,129.1
11266.6,228.2
11278.2,229.7
11289.7,290.8
11301.2,287.6
11312.7,333.8
11324.2,332.8
11335.8,432.1
11347.3,430.7
11358.8,431.7
11370.3,430.2
11381.8,449.3
11393.4,447.9
11404.9,322.7
11416.4,319.2
11427.9,468
11439.4,467.5
11451,450.7
11462.5,449.9
11474,474.2
11485.5,473.6
11497,505.2
11508.6,504.7
11520.1,459.4
11531.6,458.9
11543.1,67
11554.6,65.7
11566.2,320.4
11577.7,319.3
11589.2,491.4
11600.7,490.4
11612.2,453.9
11623.8,453.9
11635.3,420.6
11646.8,420.8
11658.3,398.8
11669.8,398.9
11681.4,521.7
11692.9,521.4
11704.4,461.9
11715.9,461.1
11727.4,447.5
11739,446
11750.5,360.7
11762,358.7
11773.5,450.1
11785,449.1
11796.6,514.5
11808.1,513.3
11819.6,263.2
11831.1,261.8
11842.6,394
11854.2,393.5
11865.7,499.5
11877.2,498.5
11888.7,502.5
11900.2,502.1
11911.8,474
11923.3,473.6
11934.8,403.9
11946.3,403.3
11957.8,368.5
11969.4,368.2
11980.9,380.6
11992.4,378.1
12003.9,448.8
12015.4,449.6
12027,501.4
12038.5,500.4
12050,416.7
12061.5,416.4
12073,409.8
12084.6,408.9
12096.1,430.5
12107.6,431.2
12119.1,487
12130.6,485.8
12142.2,443.6
12153.7,444
12165.2,465.4
12176.7,463.2
12188.2,439.1
12199.8,438.7
12211.3,441.2
12222.8,440.7
12234.3,476.5
12245.8,475.9
12257.4,410.8
12268.9,410.2
12280.4,329.9
12291.9,328.3
12303.4,254.7
12315,252.9
12326.5,403.6
12338,402.9
12349.5,46.2
12361,46.7
12372.6,314.8
12384.1,317.1
12395.6,1386.6
12407.1,1390.9
12418.6,51
12430.2,54.1
12441.7,979
12453.2,985.3
12464.7,1150.3
12476.2,1161.6
12487.8,339.5
12499.3,337.5
12510.8,1663.5
12522.3,1672.5
12533.8,770.4
12545.4,771.9
12556.9,473.2
12568.4,476
12579.9,1131
12591.4,1133.1
12603,1232
12614.5,1234.8
12626,1216.6
12637.5,1219.9
12649,1067.2
12660.6,1072
12672.1,616.2
12683.6,619.8
12695.1,1763.2
12706.6,1767.1
12718.2,1598.3
12729.7,1603.1
12741.2,1798.1
12752.7,1798.5
12764.2,1313.1
12775.8,1317.6
12787.3,1423
12798.8,1425.9
12810.3,1264.5
12821.8,1269
12833.4,2101.5
12844.9,2106.4
12856.4,1890
12867.9,1895.5
12879.4,2003.1
12891,2008.6
12902.5,2029.2
12914,2033.2
12925.5,3720.9
12937,3729
12948.6,3951.6
12960.1,3961.5
12971.6,4102.7
12983.1,4112.4
12994.6,2582.8
13006.2,2588.7
13017.7,3022.5
13029.2,3031.7
13040.7,3259.6
13052.2,3271.4
13063.8,4376.6
13075.3,4391
13086.8,6008.2
13098.3,6031.9
13109.8,5535.7
13121.4,5556
13132.9,5515.1
13144.4,5534.4
13155.9,3759.7
13167.4,3772.7
13179,5333.8
13190.5,5353.3
13202,3391.6
13213.5,3407.3
13225,2605
13236.6,2619.4
13248.1,2708.3
13259.6,2723.8
13271.1,2824.3
13282.6,2837.2
13294.2,2716
13305.7,2724.9
13317.2,1968.4
13328.7,1979.7
13340.2,2343.7
13351.8,2352.5
13363.3,1800
13374.8,1812
13386.3,1360.1
13397.8,1370.2
13409.4,2225.3
13420.9,2235.3
13432.4,3294.6
13443.9,3309
13455.4,3785.9
13467,3799.3
13478.5,4984.8
13490,5010.7
13501.5,5655
13513,5682
13524.6,1898.3
13536.1,1907.1
13547.6,2198.8
13559.1,2206.4
13570.6,1844.1
13582.2,1856.8
13593.7,1508.3
13605.2,1519.4
13616.7,1463.3
13628.2,1471.8
13639.8,1594.9
13651.3,1602.5
13662.8,2916.9
13674.3,2931
13685.8,5613.4
13697.4,5640.2
13708.9,3943.5
13720.4,3962.8
13731.9,5473
13743.4,5495.1
13755,4496.4
13766.5,4517.4
13778,4725.7
13789.5,4758.4
13801,3209.4
13812.6,3240.1
13824.1,1426.8
13835.6,1437.8
13847.1,1365.1
13858.6,1369.7
13870.2,295
13881.7,432.3
13893.2,124.4
13904.7,123.7
13916.2,337.2
13927.8,339.4
13939.3,598.9
13950.8,601.4
13962.3,814.1
13973.8,821
13985.4,1237.8
13996.9,1243.4
14008.4,1526.6
14019.9,1533.9
14031.4,1598.8
14043,1605.7
14054.5,1873.5
14066,1880.3
14077.5,1841.2
14089.1,1846.5
14100.6,2105.1
14112.1,2111.5
14123.6,1811.7
14135.1,1823
14146.7,1856.8
14158.2,1863.8
14169.7,3463.4
14181.2,3477.4
14192.7,2525.9
14204.3,2534.1
14215.8,5123.2
14227.3,5150.3
14238.8,4126
14250.3,4150.1
14261.9,7786.5
14273.4,7813.8
14284.9,3329.1
14296.4,3338.2
14307.9,5415.6
14319.5,5433.2
14331,2870
14342.5,2881.3
14354,2616.6
14365.5,2630
14377.1,2496.8
14388.6,2489.6
14400.1,3647.1
14411.6,3694.5
14423.1,1843.2
14434.7,1820.2
14446.2,1592.1
14457.7,1623.8
14469.2,1681.6
14480.7,1669.9
14492.3,1099.9
14503.8,1110.7
14515.3,670.5
14526.8,674.5
14538.3,1227.5
14549.9,1232.9
14561.4,1766.2
14572.9,1772.3
14584.4,2100.8
14595.9,2108.4
14607.5,2120.9
14619,2129.8
14630.5,2823.3
14642,2835.6
14653.5,3533.3
14665.1,3540.6
14676.6,2312.1
14688.1,2310.7
14699.6,2389
14711.1,2394.4
14722.7,555.1
14734.2,557.2
14745.7,3010.6
14757.2,3019
14768.7,4826.4
14780.3,4839.3
14791.8,3988
14803.3,3994.6
14814.8,4333.6
14826.3,4353.5
14837.9,2326.7
14849.4,2340.2
14860.9,3501.2
14872.4,3539.4
14883.9,3730.1
14895.5,3751.7
14907,4169.2
14918.5,4188.4
14930,2792.5
14941.5,2810.4
14953.1,4193.6
14964.6,4196.2
14976.1,1316.4
14987.6,1312.3
14999.1,964.9
15010.7,963.8
15022.2,1084.3
15033.7,1096.4
15045.2,2070.3
15056.7,2065.6
15068.3,704.3
15079.8,715.4
15091.3,1152
15102.8,1156.6
15114.3,418.8
15125.9,420.9
15137.4,435.7
15148.9,590.7
15160.4,213.2
15171.9,212.6
15183.5,3380.1
15195,3398.2
15206.5,3571.8
15218,3589.7
15229.5,4387.5
15241.1,4414.3
15252.6,4383
15264.1,4406
15275.6,4425.2
15287.1,4444.6
15298.7,4291
15310.2,4314
15321.7,3106.2
15333.2,3117.4
15344.7,2822.4
15356.3,2832.6
15367.8,2283.4
15379.3,2296.1
15390.8,2176.1
15402.3,2187.7
15413.9,3099.1
15425.4,3120.3
15436.9,1837.9
15448.4,1848.9
15459.9,185.6
15471.5,189.9
15483,527.3
15494.5,529.6
15506,395.3
15517.5,396.4
15529.1,1521.8
15540.6,1513.9
15552.1,364.1
15563.6,371.1
15575.1,760.9
15586.7,759.9
15598.2,880.2
15609.7,870
15621.2,435.5
15632.7,453.5
15644.3,328.1
15655.8,329.2
15667.3,377.8
15678.8,376.5
15690.3,111.1
15701.9,110.2
