time,dist
237.9,468.1
238.5,365.3
239.1,361.1
239.7,246.1
240.2,243.2
240.8,100.1
241.4,97.4
242,1208.6
242.6,1218.1
243.1,1186.7
243.7,1191.8
244.3,717.1
244.9,723.9
245.4,835.1
246,839.8
246.6,612.1
247.2,620.4
247.7,360.9
248.3,366.9
248.9,953.6
249.5,958.3
250,512.4
250.6,515.1
251.2,1206.9
251.8,1222
252.3,4005.6
252.9,4024.4
253.5,6428.1
254.1,6452.8
254.6,8075.6
255.2,8112.3
255.8,7985.2
256.4,8034.2
257,9141.9
257.5,9217.2
258.1,8068.2
258.7,8135.5
259.3,7571.5
259.8,7623
260.4,7526.3
261,7579.6
261.6,7419
262.1,7457.2
262.7,7087.1
263.3,7138.3
263.9,4247.7
264.4,4276.6
265,4437.5
265.6,4472
266.2,4204
266.7,4235
267.3,3991.5
267.9,4023.7
268.5,3775.4
269.1,3805.9
269.6,2435.1
270.2,2454.3
270.8,2350.3
271.4,2365.5
271.9,2102
272.5,2113.2
273.1,2231.2
273.7,2244.9
274.2,3196
274.8,3215.9
275.4,5496.8
276,5539.5
276.5,5660.7
277.1,5709.9
277.7,4443.1
278.3,4473.2
278.8,5258.3
279.4,5311
280,3141
280.6,3172.3
281.2,4544.9
281.7,4574.9
282.3,3636.5
282.9,3681.6
283.5,3498.7
284,3527.6
284.6,3791.7
285.2,3807.3
285.8,4464.3
286.3,4487.4
286.9,2561.4
287.5,2579.8
288.1,394.3
288.6,403.4
289.2,1057.4
289.8,1070.1
290.4,932
290.9,1145.7
291.5,858.7
292.1,866.1
292.7,1694.7
293.2,1706.2
293.8,1375
294.4,1386.5
295,650.8
295.6,659.4
296.1,851.9
296.7,860.9
297.3,1483
297.9,1496
298.4,1964.5
299,1976
299.6,3469.6
300.2,3490.1
300.7,6360.6
301.3,6398.4
301.9,7030.2
302.5,7068.2
303,4876.1
303.6,4906.9
304.2,3946
304.8,3976.7
305.3,4671.2
305.9,4695.3
306.5,5867.7
307.1,5895.8
307.7,5544.6
308.2,5561.4
308.8,5354.4
309.4,5360.3
310,7583.9
310.5,7607
311.1,8455
311.7,8490.4
312.3,6303.3
312.8,6341.3
313.4,6956.9
314,6993.8
314.6,7281.6
315.1,7309
315.7,4446.7
316.3,4466.1
316.9,5630.6
317.4,5655.7
318,1675
318.6,1682.1
319.2,136.6
319.8,137.9
320.3,221.3
320.9,218.6
321.5,299.6
322.1,300.2
322.6,388.4
323.2,386.5
323.8,291.9
324.4,290.3
324.9,365.9
325.5,365.3
326.1,114
326.7,109.7
327.2,446.1
327.8,450.1
328.4,4383.2
329,4406.1
329.5,5318
330.1,5334.3
330.7,5085.5
331.3,5091.3
331.9,7131.4
332.4,7176.5
333,4848.8
333.6,4866.6
334.2,4998.2
334.7,5015.6
335.3,3071.3
335.9,3082.4
336.5,2390
337,2399
337.6,3641.5
338.2,3645.2
338.8,4210.3
339.3,4234.3
339.9,4629.8
340.5,4650.5
341.1,5682.9
341.6,5705.9
342.2,6308
342.8,6318.2
343.4,6435.3
343.9,6455.2
344.5,5116.6
345.1,5138.7
345.7,3738.9
346.3,3756.8
346.8,5605.1
347.4,5626.5
348,5729.4
348.6,5758
349.1,5932.4
349.7,5960.8
350.3,4054.4
350.9,4067.7
351.4,3738.1
352,3750.3
352.6,4838.5
353.2,4856.6
353.7,4237
354.3,4258.4
354.9,6274.9
355.5,6298.7
356,3377.4
356.6,3387
357.2,2265.3
357.8,2267.4
358.4,780.3
358.9,786.1
359.5,505.6
360.1,509.8
360.7,714.7
361.2,718.8
361.8,870.7
362.4,876.4
363,402.1
363.5,404.1
364.1,176.9
364.7,179
365.3,104.6
365.8,102.8
366.4,198.4
367,200.3
367.6,169.4
368.1,168.3
368.7,53.4
369.3,52.8
369.9,3784.5
370.5,3806.2
371,4039.6
371.6,4057.2
372.2,2910.5
372.8,2926
373.3,2605
373.9,2622.3
374.5,2936.4
375.1,2950.3
375.6,4181.3
376.2,4201
376.8,2612.5
377.4,2625.8
377.9,3587.3
378.5,3599.3
379.1,2364.2
379.7,2377
380.2,2063.4
380.8,2075.1
381.4,2552.7
382,2565.1
382.5,1889.7
383.1,1901.8
383.7,1019.1
384.3,1025.7
384.9,1326.2
385.4,1332.5
386,2243.2
386.6,2254.6
387.2,3224.1
387.7,3243.7
388.3,2069.3
388.9,2082.2
389.5,1314.9
390,1320.5
390.6,1747.9
391.2,1756.7
391.8,2214.9
392.3,2226.3
392.9,1308.3
393.5,1314.8
394.1,746.5
394.6,751.2
395.2,1713.7
395.8,1719.5
396.4,1631.6
397,1638.4
397.5,1151.8
398.1,1155.9
398.7,249.1
399.3,250.5
399.8,57.8
400.4,57.3
401,284.3
401.6,282.3
402.1,366.8
402.7,365.1
403.3,257.2
403.9,256.4
404.4,368.3
405,367.8
405.6,128.7
406.2,126.3
406.7,377.4
407.3,377.1
407.9,104.5
408.5,101.3
409.1,390.6
409.6,388.1
410.2,962.1
410.8,961.4
411.4,41.3
411.9,44.9
412.5,351.6
413.1,351.3
413.7,297.4
414.2,295.8
414.8,22.7
415.4,22.8
416,83.5
416.5,82.3
417.1,327.5
417.7,326.5
418.3,269
418.8,267.4
419.4,321.8
420,320.3
420.6,460
421.2,460.4
421.7,457.9
422.3,457.2
422.9,485.6
423.5,483.5
424,276.2
424.6,277.3
425.2,78.4
425.8,76.3
426.3,440.7
426.9,440.4
427.5,325.3
428.1,324
428.6,377.9
429.2,376.8
429.8,438.4
430.4,439.4
430.9,262.8
431.5,262.1
432.1,331.7
432.7,330.3
433.2,426.4
433.8,424.8
434.4,443.3
435,442.8
435.6,385.4
436.1,384.9
436.7,389.7
437.3,388.3
437.9,212
438.4,208.5
439,48.5
439.6,49.9
440.2,649
440.7,650.5
441.3,508.5
441.9,510.4
442.5,827.2
443,826.8
443.6,903
444.2,904.2
444.8,921.1
445.3,921.3
445.9,1092
446.5,1095.1
447.1,1294.6
447.7,1298.9
448.2,1438
448.8,1446.3
449.4,1689.2
450,1698
450.5,1556.7
451.1,1559.6
451.7,1671.4
452.3,1676.6
452.8,3959.4
453.4,3967.4
454,2412.9
454.6,2420.8
455.1,2969.1
455.7,2982
456.3,1728.1
456.9,1736.2
457.4,3841
458,3851.5
458.6,2681.8
459.2,2691.5
459.8,3043
460.3,3052.2
460.9,2516.2
461.5,2526.4
462.1,4112.1
462.6,4129
463.2,3828.4
463.8,3842.7
464.4,3130.4
464.9,3139.9
465.5,3826.8
466.1,3841.9
466.7,5023.3
467.2,5046.6
467.8,5384.8
468.4,5412.9
469,4067.1
469.5,4091.5
470.1,2939.9
470.7,2962.5
471.3,2946.4
471.8,2960.9
472.4,1664.4
473,1677.7
473.6,1690.9
474.2,1699.4
474.7,959.5
475.3,968
475.9,830
476.5,839.6
477,1693.2
477.6,1709.3
478.2,1303.1
478.8,1310.8
479.3,3268.9
479.9,3289.3
480.5,2698
481.1,2716.7
481.6,2477.1
482.2,2503.9
482.8,2602.4
483.4,2627.6
483.9,1564.8
484.5,1581
485.1,238.8
485.7,236.1
486.3,153.5
486.8,147.9
487.4,18.2
488,15.8
488.6,68.2
489.1,69.3
489.7,41.8
490.3,123.4
490.9,25
491.4,91.8
492,210
492.6,199.9
493.2,197
493.7,193.6
494.3,44.3
494.9,40.5
495.5,111.8
496,116.3
496.6,78.3
497.2,75.9
497.8,161.8
498.4,167.9
498.9,539.4
499.5,545.1
500.1,168.9
500.7,172.2
501.2,140.7
501.8,145
502.4,363.9
503,361.9
503.5,1208.9
504.1,1218.4
504.7,3847.2
505.3,3874.9
505.8,4769.7
506.4,4795.1
507,3859.2
507.6,3886.6
508.1,3759.2
508.7,3787.8
509.3,2612.6
509.9,2630.4
510.5,2312.6
511,2325.4
511.6,3026.9
512.2,3054.5
512.8,3046.7
513.3,3079.1
513.9,2551.9
514.5,2576.1
515.1,1474
515.6,1489.5
516.2,2439.5
516.8,2460.1
517.4,2069.9
517.9,2086.5
518.5,1460.4
519.1,1473.1
